epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.757164716720581,0.05979381501674652,3.409975051879883,0.09413580596446991,64,0.001
2,2.7693610191345215,0.20167525112628937,2.424328327178955,0.29320988059043884,64,0.001
3,2.0344417095184326,0.410695880651474,1.823399305343628,0.4695216119289398,64,0.001
4,1.5509626865386963,0.5400773286819458,1.6292142868041992,0.5509259104728699,64,0.001
5,1.2695976495742798,0.6329897046089172,1.5788471698760986,0.5914351940155029,64,0.001
6,1.0612854957580566,0.6907216310501099,1.8146944046020508,0.5925925970077515,64,0.001
7,0.9425455331802368,0.7256443500518799,2.0625925064086914,0.5895061492919922,64,0.001
8,0.8393430709838867,0.757603108882904,1.8478248119354248,0.6145833134651184,64,0.001
9,0.7989910244941711,0.7724226713180542,1.7499990463256836,0.6253858208656311,64,0.001
10,0.7541764378547668,0.7871134281158447,1.987578272819519,0.6192129850387573,64,0.001
