epochs,loss,accuracy,val_loss,val_accuracy,filters,learning_rate
1,3.4705586433410645,0.05463917553424835,3.1063108444213867,0.10802469402551651,32,0.001
2,2.888715982437134,0.15463916957378387,2.5348427295684814,0.25810185074806213,32,0.001
3,2.399616003036499,0.28904637694358826,2.0808463096618652,0.39390432834625244,32,0.001
4,2.0113372802734375,0.406572163105011,1.7672152519226074,0.4864969253540039,32,0.001
5,1.724990963935852,0.48737114667892456,1.672813892364502,0.5115740895271301,32,0.001
6,1.51030695438385,0.548711359500885,1.5200227499008179,0.5663580298423767,32,0.001
7,1.3319056034088135,0.6027061939239502,1.4831520318984985,0.5694444179534912,32,0.001
8,1.1923173666000366,0.6319587826728821,1.511035442352295,0.5891203880310059,32,0.001
9,1.0785305500030518,0.6662371158599854,1.5365755558013916,0.5829475522041321,32,0.001
10,0.9962453842163086,0.6967783570289612,1.5040102005004883,0.6099537014961243,32,0.001
11,0.9071872234344482,0.7189432978630066,1.5236834287643433,0.6057098507881165,32,0.001
12,0.8540592789649963,0.7369845509529114,1.5846534967422485,0.5891203880310059,32,0.001
